,0,1
199,0674019938,"(75.47, 69.38, 69.38, 98.97, 5.0)"
200,0073379212,"(9.02, 8.92, 8.92, 71.19, 5.0)"
201,8867323334,"(253.92, 254.09, 254.09, 195.15, 5.0)"
202,1782171207,"(19.2, 19.9, 19.9, 121.53, 5.25)"
203,1908970162,"(254.23, 254.24, 254.24, 228.19, 5.25)"
204,1250077842,"(10.92, 7.46, 7.46, 66.4, 5.5)"
205,1305008049,"(254.57, 254.49, 254.49, 237.53, 5.5)"
206,1561458449,"(40.89, 40.97, 40.97, 117.76, 5.5)"
207,0674006763,"(242.68, 230.96, 230.96, 200.09, 5.75)"
208,1943393842,"(20.33, 17.83, 17.83, 47.18, 5.75)"
209,0820348104,"(196.72, 197.36, 197.36, 171.25, 5.75)"
210,0271011793,"(253.77, 253.52, 253.52, 210.71, 5.75)"
211,1604593350,"(253.32, 253.68, 253.68, 201.52, 6.0)"
212,0815320574,"(253.78, 253.91, 253.91, 232.42, 6.0)"
213,1494792060,"(0.6, 1.1, 1.1, 40.81, 6.0)"
214,0801017300,"(248.87, 246.5, 246.5, 189.59, 6.25)"
215,1576874745,"(24.31, 24.77, 24.77, 149.37, 6.5)"
216,0385334435,"(19.89, 16.61, 16.61, 27.22, 7.5)"
217,0745628265,"(237.78, 247.79, 247.79, 156.54, 7.5)"
218,1568365373,"(42.04, 39.94, 39.94, 50.46, 7.5)"
219,1401256899,"(1.4, 1.43, 1.43, 22.43, 7.5)"
220,0205856160,"(2.89, 2.23, 2.23, 90.63, 7.75)"
221,0316225819,"(19.54, 18.17, 18.17, 55.62, 7.75)"
222,0744014476,"(65.42, 63.67, 63.67, 98.41, 8.0)"
223,0077226496,"(16.75, 28.56, 28.56, 134.37, 8.0)"
224,0674744101,"(46.33, 62.83, 62.83, 79.15, 8.0)"
225,0867154225,"(252.28, 253.01, 253.01, 153.69, 8.0)"
226,0825672988,"(254.23, 254.28, 254.28, 224.66, 8.0)"
227,0299121445,"(71.5, 72.98, 72.98, 150.53, 8.5)"
228,0060526521,"(254.29, 253.83, 253.83, 232.87, 8.5)"
229,0312422199,"(9.83, 18.29, 18.29, 64.97, 9.0)"
230,074565164X,"(252.31, 251.01, 251.01, 182.74, 9.0)"
231,0692433759,"(86.04, 79.21, 79.21, 121.24, 9.0)"
232,0826321933,"(35.53, 31.38, 31.38, 104.62, 9.5)"
233,0399158448,"(159.46, 177.62, 177.62, 133.37, 10.0)"
234,0789302551,"(247.39, 247.36, 247.36, 176.41, 10.0)"
235,1881893049,"(23.24, 43.39, 43.39, 63.19, 10.0)"
236,0687649595,"(254.16, 254.2, 254.2, 242.12, 10.0)"
237,1137278862,"(81.63, 83.69, 83.69, 101.05, 10.0)"
238,1611453496,"(241.68, 229.84, 229.84, 198.54, 10.0)"
239,0875161561,"(254.35, 254.09, 254.09, 226.24, 10.5)"
240,1517071380,"(254.76, 254.77, 254.77, 250.69, 10.5)"
241,1608463990,"(200.87, 200.15, 200.15, 204.57, 11.0)"
242,0870334751,"(57.08, 81.04, 81.04, 66.1, 11.5)"
243,0486265439,"(13.27, 18.24, 18.24, 36.14, 11.5)"
244,B007K507VA,"(182.79, 175.0, 175.0, 134.25, 11.5)"
245,0823006387,"(75.08, 77.05, 77.05, 95.18, 11.5)"
246,0874777518,"(4.43, 3.59, 3.59, 60.11, 11.5)"
247,3531099302,"(213.07, 177.29, 177.29, 201.95, 12.0)"
248,1416028226,"(91.07, 100.14, 100.14, 105.63, 12.0)"
249,0060590033,"(16.02, 17.85, 17.85, 60.31, 12.0)"
250,1906103631,"(1.31, 1.5, 1.5, 66.36, 12.5)"
251,0132898357,"(254.53, 254.43, 254.43, 231.64, 12.5)"
252,0441015026,"(31.69, 33.39, 33.39, 71.05, 12.5)"
253,1442239972,"(5.84, 8.09, 8.09, 13.89, 12.5)"
254,1599102854,"(0.25, 0.34, 0.34, 16.74, 13.0)"
255,1560653906,"(214.81, 213.7, 213.7, 128.6, 13.0)"
256,0920656668,"(32.49, 34.09, 34.09, 59.76, 13.0)"
257,0226036499,"(254.68, 254.68, 254.68, 244.75, 13.5)"
258,0849366178,"(6.54, 12.25, 12.25, 67.89, 14.0)"
259,1137354070,"(32.62, 29.26, 29.26, 72.51, 14.0)"
260,1403911665,"(230.16, 222.73, 222.73, 126.69, 14.5)"
261,0128008849,"(32.55, 33.55, 33.55, 134.12, 15.0)"
262,3791338072,"(6.96, 6.08, 6.08, 41.37, 15.0)"
263,031416118X,"(230.89, 234.0, 234.0, 193.16, 15.0)"
264,0307277453,"(253.65, 254.09, 254.09, 236.75, 15.5)"
265,3899554493,"(192.41, 215.81, 215.81, 202.29, 16.0)"
266,1935694030,"(34.79, 34.09, 34.09, 72.88, 17.0)"
267,3954530120,"(239.3, 235.57, 235.57, 200.27, 17.0)"
268,0826355919,"(5.36, 5.28, 5.28, 79.39, 17.0)"
269,1330543629,"(30.7, 63.42, 63.42, 56.23, 17.0)"
270,0395528089,"(252.3, 251.88, 251.88, 151.55, 17.0)"
271,0805079831,"(182.71, 182.04, 182.04, 154.75, 17.0)"
272,B011DC5NZA,"(253.85, 253.58, 253.58, 236.87, 18.0)"
273,1585675938,"(230.66, 252.1, 252.1, 173.63, 19.0)"
274,1423219600,"(183.94, 191.69, 191.69, 192.62, 19.0)"
275,0692503447,"(210.91, 192.95, 192.95, 166.76, 19.0)"
276,0345544943,"(219.17, 241.94, 241.94, 221.42, 19.0)"
277,1502922177,"(97.05, 56.93, 56.93, 145.89, 19.0)"
278,1870979133,"(77.37, 54.16, 54.16, 125.18, 19.0)"
279,1932907513,"(41.8, 43.05, 43.05, 119.24, 19.0)"
280,1904132944,"(242.55, 241.84, 241.84, 232.24, 20.0)"
281,0983955484,"(2.5, 0.98, 0.98, 42.4, 20.0)"
282,0830834222,"(16.3, 19.01, 19.01, 103.59, 20.0)"
283,B0007JE636,"(97.96, 79.57, 79.57, 111.31, 20.0)"
284,0300196717,"(249.75, 237.26, 237.26, 148.07, 20.0)"
285,1611040760,"(9.44, 10.15, 10.15, 60.08, 20.0)"
286,1426403372,"(207.32, 196.25, 196.25, 131.33, 20.0)"
287,0807835757,"(125.68, 118.47, 118.47, 119.87, 20.0)"
288,0345804805,"(18.3, 17.38, 17.38, 92.7, 20.0)"
289,848936771X,"(64.43, 52.08, 52.08, 114.75, 21.0)"
290,0966796128,"(148.41, 199.49, 199.49, 152.74, 21.0)"
291,0465056741,"(220.15, 181.87, 181.87, 132.85, 22.0)"
292,0312862172,"(15.14, 21.4, 21.4, 53.79, 22.0)"
293,1620159635,"(13.3, 14.52, 14.52, 43.37, 23.0)"
294,0231168268,"(250.47, 246.57, 246.57, 170.98, 23.0)"
295,0199537070,"(47.93, 48.74, 48.74, 121.81, 23.0)"
296,1402244304,"(254.08, 240.68, 240.68, 235.52, 23.0)"
297,0385720793,"(17.86, 13.52, 13.52, 83.13, 23.0)"
298,0140512543,"(251.48, 248.65, 248.65, 163.04, 23.0)"
299,1455503967,"(248.17, 242.03, 242.03, 197.37, 23.0)"
300,1931082006,"(1.6, 1.15, 1.15, 34.0, 24.0)"
301,B002JWSIBK,"(158.09, 168.71, 168.71, 137.91, 24.0)"
302,1629054208,"(215.66, 203.28, 203.28, 143.51, 24.0)"
303,B004WGJ9V4,"(18.29, 8.55, 8.55, 47.67, 24.0)"
304,1476784728,"(253.05, 253.29, 253.29, 211.98, 24.0)"
305,0199696306,"(153.83, 193.78, 193.78, 164.11, 24.0)"
306,4000065319,"(225.86, 215.91, 215.91, 163.49, 25.0)"
307,B0028Q3XUS,"(243.22, 242.78, 242.78, 174.68, 25.0)"
308,0465031269,"(58.43, 56.88, 56.88, 120.54, 25.0)"
309,1588462854,"(6.93, 47.15, 47.15, 70.73, 25.0)"
310,144373778X,"(105.17, 55.19, 55.19, 86.34, 25.0)"
311,1467903299,"(82.76, 56.78, 56.78, 150.54, 25.0)"
312,3822852805,"(7.79, 9.4, 9.4, 63.15, 25.0)"
313,0990844218,"(253.7, 253.29, 253.29, 181.33, 25.0)"
314,0553384716,"(186.4, 206.03, 206.03, 138.52, 25.0)"
315,0914955209,"(252.35, 235.13, 235.13, 180.44, 25.0)"
316,1619980282,"(222.83, 211.92, 211.92, 185.01, 25.0)"
317,0715336185,"(253.87, 253.63, 253.63, 232.4, 25.0)"
